文件名,完整路径,所在目录,文件大小(B),文件大小(可读),修改时间
GB_T 25448-2010_重水堆核电厂燃料棒束氦质谱泄漏检测.pdf,/data2/统计包含关键词的文件/final/GB_T 25448-2010_重水堆核电厂燃料棒束氦质谱泄漏检测.pdf,/data2/统计包含关键词的文件/final,728139,711.07 KB,2024-05-28 14:20:01
历史上九月发生的危险化学品事故--中华人民共和国应急管理部.pdf,/data2/统计包含关键词的文件/final/历史上九月发生的危险化学品事故--中华人民共和国应急管理部.pdf,/data2/统计包含关键词的文件/final,468590,457.61 KB,2025-03-10 14:25:15
2022注安法规《章节练习—全真题版》真题及答案.pdf,/data2/统计包含关键词的文件/final/2022注安法规《章节练习—全真题版》真题及答案.pdf,/data2/统计包含关键词的文件/final,30142537,28.75 MB,2025-03-17 13:55:24
2017安全评价基础知识.pdf,/data2/统计包含关键词的文件/final/2017安全评价基础知识.pdf,/data2/统计包含关键词的文件/final,1679798,1.60 MB,2025-03-17 13:58:59
微机手自动同期装置技术及使用说明书V2.0.pdf,/data2/统计包含关键词的文件/final/微机手自动同期装置技术及使用说明书V2.0.pdf,/data2/统计包含关键词的文件/final,1043676,1019.21 KB,2009-03-04 13:51:28
2024版安全教材对比(0606).pdf,/data2/统计包含关键词的文件/final/2024版安全教材对比(0606).pdf,/data2/统计包含关键词的文件/final,894753,873.78 KB,2025-03-17 13:47:19
建设项目环境保护管理条例.docx,/data2/统计包含关键词的文件/final/建设项目环境保护管理条例.docx,/data2/统计包含关键词的文件/final,15157,14.80 KB,2025-11-17 09:15:40
QCDT-GYYHPC 1013-2022 直流系统运行规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1013-2022 直流系统运行规程.pdf,/data2/统计包含关键词的文件/final,444244,433.83 KB,2022-11-16 16:37:44
核电厂常规岛与辅助配套设施可靠性数据管理导则.pdf,/data2/统计包含关键词的文件/final/核电厂常规岛与辅助配套设施可靠性数据管理导则.pdf,/data2/统计包含关键词的文件/final,478669,467.45 KB,2025-02-17 18:32:12
安全生产法律法规全书（2024版）.docx,/data2/统计包含关键词的文件/final/安全生产法律法规全书（2024版）.docx,/data2/统计包含关键词的文件/final,928022,906.27 KB,2025-03-21 17:45:54
维斯塔斯V52-850-946651ZH 液压系统-功能.pdf,/data2/统计包含关键词的文件/final/维斯塔斯V52-850-946651ZH 液压系统-功能.pdf,/data2/统计包含关键词的文件/final,3772600,3.60 MB,2025-08-19 15:05:28
QCDT-GYYHPC 1004-2024 500kV系统运行规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1004-2024 500kV系统运行规程.pdf,/data2/统计包含关键词的文件/final,868652,848.29 KB,2024-08-02 09:25:36
联合动力UP121-2000-2MW机组故障处理方案.pdf,/data2/统计包含关键词的文件/final/联合动力UP121-2000-2MW机组故障处理方案.pdf,/data2/统计包含关键词的文件/final,2327957,2.22 MB,2025-08-19 15:10:42
GB_T 41579-2022_核设施应急准备分类.pdf,/data2/统计包含关键词的文件/final/GB_T 41579-2022_核设施应急准备分类.pdf,/data2/统计包含关键词的文件/final,2567854,2.45 MB,2024-05-28 14:21:41
核电厂汽轮机保养规范.pdf,/data2/统计包含关键词的文件/final/核电厂汽轮机保养规范.pdf,/data2/统计包含关键词的文件/final,547687,534.85 KB,2025-02-17 19:10:35
GB∕T 8564-2023 水轮发电机组安装技术规范(OCR).pdf,/data2/统计包含关键词的文件/final/GB∕T 8564-2023 水轮发电机组安装技术规范(OCR).pdf,/data2/统计包含关键词的文件/final,15949672,15.21 MB,2025-02-18 09:57:01
GB 3847-2018 柴油车污染物排放限值及测量方法（自由加速法及加载减速法）.pdf,/data2/统计包含关键词的文件/final/GB 3847-2018 柴油车污染物排放限值及测量方法（自由加速法及加载减速法）.pdf,/data2/统计包含关键词的文件/final,2024551,1.93 MB,2024-09-25 10:36:07
2015注安《法规》真题及参考答案(1).pdf,/data2/统计包含关键词的文件/final/2015注安《法规》真题及参考答案(1).pdf,/data2/统计包含关键词的文件/final,676377,660.52 KB,2025-03-17 13:59:03
DL615-2013     《高压交流断路器参数选用导则》.pdf,/data2/统计包含关键词的文件/final/DL615-2013     《高压交流断路器参数选用导则》.pdf,/data2/统计包含关键词的文件/final,687134,671.03 KB,2025-09-03 12:01:30
GB+34668-2024.pdf,/data2/统计包含关键词的文件/final/GB+34668-2024.pdf,/data2/统计包含关键词的文件/final,561531,548.37 KB,2025-02-11 19:45:30
中国安全生产大数据平台-知识库919.pdf,/data2/统计包含关键词的文件/final/中国安全生产大数据平台-知识库919.pdf,/data2/统计包含关键词的文件/final,1561666,1.49 MB,2025-03-10 14:21:32
吉林公司联合动力1.5MW风电机组精细化维护手册.pdf,/data2/统计包含关键词的文件/final/吉林公司联合动力1.5MW风电机组精细化维护手册.pdf,/data2/统计包含关键词的文件/final,9137594,8.71 MB,2025-08-19 15:06:14
DLGK-53B平面式过程控制实训装置技术文件20161219.docx,/data2/统计包含关键词的文件/final/DLGK-53B平面式过程控制实训装置技术文件20161219.docx,/data2/统计包含关键词的文件/final,1782875,1.70 MB,2024-03-28 16:50:16
GYY-EC-2023-#3G-上-16+3号机组自用电保护装置及开关控制回路检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2023-#3G-上-16+3号机组自用电保护装置及开关控制回路检修报告.pdf,/data2/统计包含关键词的文件/final,419714,409.88 KB,2023-08-29 00:00:00
JJG 01-1994 电测量变送器检定规程.pdf,/data2/统计包含关键词的文件/final/JJG 01-1994 电测量变送器检定规程.pdf,/data2/统计包含关键词的文件/final,4899969,4.67 MB,2025-02-21 11:25:22
3号机组计算机监控系统检修报告.docx,/data2/统计包含关键词的文件/final/3号机组计算机监控系统检修报告.docx,/data2/统计包含关键词的文件/final,44559,43.51 KB,2024-01-13 09:38:30
远景能源EN1500-机械刹车释放失灵.pdf,/data2/统计包含关键词的文件/final/远景能源EN1500-机械刹车释放失灵.pdf,/data2/统计包含关键词的文件/final,474764,463.64 KB,2025-08-19 15:06:20
联合动力1.5MW机组故障处理方案（第二版）.pdf,/data2/统计包含关键词的文件/final/联合动力1.5MW机组故障处理方案（第二版）.pdf,/data2/统计包含关键词的文件/final,11930374,11.38 MB,2025-08-19 15:06:12
中国安全生产大数据平台-知识库1329.pdf,/data2/统计包含关键词的文件/final/中国安全生产大数据平台-知识库1329.pdf,/data2/统计包含关键词的文件/final,1619734,1.54 MB,2025-03-10 14:09:59
放射性物品运输安全监督管理办法.docx,/data2/统计包含关键词的文件/final/放射性物品运输安全监督管理办法.docx,/data2/统计包含关键词的文件/final,18674,18.24 KB,2025-11-17 09:17:01
GBT 25360-2010 汽车加气站用往复活塞天然气压缩机.pdf,/data2/统计包含关键词的文件/final/GBT 25360-2010 汽车加气站用往复活塞天然气压缩机.pdf,/data2/统计包含关键词的文件/final,327187,319.52 KB,2025-03-04 11:59:16
HJ 2042-2014 危险废物处置工程技术导则（发布稿）.pdf,/data2/统计包含关键词的文件/final/HJ 2042-2014 危险废物处置工程技术导则（发布稿）.pdf,/data2/统计包含关键词的文件/final,267654,261.38 KB,2025-02-28 16:07:55
DLT_1056-2019 发电厂热工仪表及控制系统技术监督导则.pdf,/data2/统计包含关键词的文件/final/DLT_1056-2019 发电厂热工仪表及控制系统技术监督导则.pdf,/data2/统计包含关键词的文件/final,9538317,9.10 MB,2025-11-17 09:39:45
JJG 2084-1990 交流电流计量器具检定系统.pdf,/data2/统计包含关键词的文件/final/JJG 2084-1990 交流电流计量器具检定系统.pdf,/data2/统计包含关键词的文件/final,270432,264.09 KB,2025-02-21 11:26:14
2019一造安装-ZY-真题及模拟试卷.pdf,/data2/统计包含关键词的文件/final/2019一造安装-ZY-真题及模拟试卷.pdf,/data2/统计包含关键词的文件/final,6995074,6.67 MB,2025-03-13 14:44:32
压水堆核电厂通风系统调试导则.pdf,/data2/统计包含关键词的文件/final/压水堆核电厂通风系统调试导则.pdf,/data2/统计包含关键词的文件/final,1144107,1.09 MB,2025-02-17 18:24:43
维斯塔斯V80-2000-Mk3.Mk4.Mk5-操作与安全策略.pdf,/data2/统计包含关键词的文件/final/维斯塔斯V80-2000-Mk3.Mk4.Mk5-操作与安全策略.pdf,/data2/统计包含关键词的文件/final,143508,140.14 KB,2025-08-19 15:05:20
例说矩形PLC应用技术快速入门.pdf,/data2/统计包含关键词的文件/final/例说矩形PLC应用技术快速入门.pdf,/data2/统计包含关键词的文件/final,118407168,112.92 MB,2023-12-19 22:13:01
金风1.5MW机组整机维护手册（变桨驱动器I型、Switch变流）.pdf,/data2/统计包含关键词的文件/final/金风1.5MW机组整机维护手册（变桨驱动器I型、Switch变流）.pdf,/data2/统计包含关键词的文件/final,3506061,3.34 MB,2025-08-19 15:04:58
JDFD-14-21燃料接卸、验收和煤场管理制度.docx,/data2/统计包含关键词的文件/final/JDFD-14-21燃料接卸、验收和煤场管理制度.docx,/data2/统计包含关键词的文件/final,67194,65.62 KB,2025-04-10 18:03:20
QCDT-GYYHPC 1124-2022 主变冷却供水系统检修规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1124-2022 主变冷却供水系统检修规程.pdf,/data2/统计包含关键词的文件/final,450582,440.02 KB,2022-11-15 11:20:36
GBT 22240-2020 信息安全技术 网络安全等级保护定级指南.pdf,/data2/统计包含关键词的文件/final/GBT 22240-2020 信息安全技术 网络安全等级保护定级指南.pdf,/data2/统计包含关键词的文件/final,765813,747.86 KB,2025-11-17 09:59:45
联合动力UP82-1500风电组合式变压器说明书.pdf,/data2/统计包含关键词的文件/final/联合动力UP82-1500风电组合式变压器说明书.pdf,/data2/统计包含关键词的文件/final,1199612,1.14 MB,2025-08-19 15:10:46
57、第13章 （2）投标阶段成本控制.pdf,/data2/统计包含关键词的文件/final/57、第13章 （2）投标阶段成本控制.pdf,/data2/统计包含关键词的文件/final,914678,893.24 KB,2025-03-17 14:00:49
GB+15407-2010.pdf,/data2/统计包含关键词的文件/final/GB+15407-2010.pdf,/data2/统计包含关键词的文件/final,465064,454.16 KB,2025-02-11 18:45:30
32311-2015-gb-cd-300.pdf,/data2/统计包含关键词的文件/final/32311-2015-gb-cd-300.pdf,/data2/统计包含关键词的文件/final,377087,368.25 KB,2025-02-11 19:07:57
关于进一步加快电力现货市场建设工作的通知（发改办体改〔2023〕813号）.pdf,/data2/统计包含关键词的文件/final/关于进一步加快电力现货市场建设工作的通知（发改办体改〔2023〕813号）.pdf,/data2/统计包含关键词的文件/final,214233,209.21 KB,2025-09-03 12:20:55
2号机调速器电气控制系统检修报告.docx,/data2/统计包含关键词的文件/final/2号机调速器电气控制系统检修报告.docx,/data2/统计包含关键词的文件/final,93146,90.96 KB,2024-04-24 09:14:44
2019安全评价师考试理论知识-三级.pdf,/data2/统计包含关键词的文件/final/2019安全评价师考试理论知识-三级.pdf,/data2/统计包含关键词的文件/final,456651,445.95 KB,2025-03-13 14:44:34
危险化学品重大危险源监督管理暂行规定.docx,/data2/统计包含关键词的文件/final/危险化学品重大危险源监督管理暂行规定.docx,/data2/统计包含关键词的文件/final,22927,22.39 KB,2025-11-17 09:15:27
5号主变冷却系统控制回路检修报告.doc.docx,/data2/统计包含关键词的文件/final/5号主变冷却系统控制回路检修报告.doc.docx,/data2/统计包含关键词的文件/final,100432,98.08 KB,2023-12-23 18:08:00
GB+11984-2008.pdf,/data2/统计包含关键词的文件/final/GB+11984-2008.pdf,/data2/统计包含关键词的文件/final,712804,696.10 KB,2025-02-11 18:36:21
GB 50171—1992 电气装置安装工程 盘、柜及二次回路接线施工及验收规范.pdf,/data2/统计包含关键词的文件/final/GB 50171—1992 电气装置安装工程 盘、柜及二次回路接线施工及验收规范.pdf,/data2/统计包含关键词的文件/final,49724,48.56 KB,2025-05-14 11:27:25
民用核安全设备焊接人员资格管理规定.docx,/data2/统计包含关键词的文件/final/民用核安全设备焊接人员资格管理规定.docx,/data2/统计包含关键词的文件/final,15869,15.50 KB,2025-11-17 09:15:47
压水堆核电厂用不锈钢  第3部分：堆芯支承板和上支承板用奥氏体不锈钢锻件.pdf,/data2/统计包含关键词的文件/final/压水堆核电厂用不锈钢  第3部分：堆芯支承板和上支承板用奥氏体不锈钢锻件.pdf,/data2/统计包含关键词的文件/final,1907621,1.82 MB,2025-02-17 18:24:45
GYY-EC-2023-#5G-下-02+5号机监控系统检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2023-#5G-下-02+5号机监控系统检修报告.pdf,/data2/统计包含关键词的文件/final,1928017,1.84 MB,2023-12-24 11:42:32
《加快电力装备绿色低碳创新发展行动计划》（工信部联重装〔2022〕105号）.pdf,/data2/统计包含关键词的文件/final/《加快电力装备绿色低碳创新发展行动计划》（工信部联重装〔2022〕105号）.pdf,/data2/统计包含关键词的文件/final,657696,642.28 KB,2025-09-03 12:20:29
2号发辅检修报告.docx,/data2/统计包含关键词的文件/final/2号发辅检修报告.docx,/data2/统计包含关键词的文件/final,90901,88.77 KB,2024-04-24 16:54:54
GYY-EC-2022-#1G-下-12 1号主变压器保护检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2022-#1G-下-12 1号主变压器保护检修报告.pdf,/data2/统计包含关键词的文件/final,383929,374.93 KB,2023-04-10 14:23:56
核电厂汽轮机数字电液控制系统维修导则.pdf,/data2/统计包含关键词的文件/final/核电厂汽轮机数字电液控制系统维修导则.pdf,/data2/统计包含关键词的文件/final,1906825,1.82 MB,2025-02-17 18:35:14
初步设计内容及深度规定（龙源工[2021]78-79号）光伏发电工程初步设计内容及深度规定-第二卷升压站部分.pdf,/data2/统计包含关键词的文件/final/初步设计内容及深度规定（龙源工[2021]78-79号）光伏发电工程初步设计内容及深度规定-第二卷升压站部分.pdf,/data2/统计包含关键词的文件/final,567882,554.57 KB,2025-08-19 15:04:42
GB+15631-2008.pdf,/data2/统计包含关键词的文件/final/GB+15631-2008.pdf,/data2/统计包含关键词的文件/final,1335768,1.27 MB,2025-02-11 18:34:25
金风1.5MW机组故障解释(verteco主控官厅版).pdf,/data2/统计包含关键词的文件/final/金风1.5MW机组故障解释(verteco主控官厅版).pdf,/data2/统计包含关键词的文件/final,350416,342.20 KB,2025-08-19 15:04:56
DLT 1645-2016 火力发电厂吸收式热泵工程验收规范.pdf,/data2/统计包含关键词的文件/final/DLT 1645-2016 火力发电厂吸收式热泵工程验收规范.pdf,/data2/统计包含关键词的文件/final,2635878,2.51 MB,2025-11-13 16:37:55
歌美飒2.0MW- 机械制动器 – 描述.pdf,/data2/统计包含关键词的文件/final/歌美飒2.0MW- 机械制动器 – 描述.pdf,/data2/统计包含关键词的文件/final,1618764,1.54 MB,2025-08-19 15:06:04
GB_T 28549-2012_核电厂调试阶段核岛管道与主设备支吊装置验证要求.pdf,/data2/统计包含关键词的文件/final/GB_T 28549-2012_核电厂调试阶段核岛管道与主设备支吊装置验证要求.pdf,/data2/统计包含关键词的文件/final,1852835,1.77 MB,2024-05-28 14:20:34
电力安全事故应急处置和调查处理条例.docx,/data2/统计包含关键词的文件/final/电力安全事故应急处置和调查处理条例.docx,/data2/统计包含关键词的文件/final,31376,30.64 KB,2025-11-17 09:15:53
GBT 33009.4-2016 工业自动化和控制系统网络安全 集散控制系统（DCS）第4部分：风险与脆弱性检测要求.pdf,/data2/统计包含关键词的文件/final/GBT 33009.4-2016 工业自动化和控制系统网络安全 集散控制系统（DCS）第4部分：风险与脆弱性检测要求.pdf,/data2/统计包含关键词的文件/final,651756,636.48 KB,2025-11-17 10:00:24
GBZ 37-2024 职业性铅及其无机化合物中毒诊断标准.pdf,/data2/统计包含关键词的文件/final/GBZ 37-2024 职业性铅及其无机化合物中毒诊断标准.pdf,/data2/统计包含关键词的文件/final,342532,334.50 KB,2025-03-04 12:41:36
2019注安《法规》真题及参考答案(1).pdf,/data2/统计包含关键词的文件/final/2019注安《法规》真题及参考答案(1).pdf,/data2/统计包含关键词的文件/final,626251,611.57 KB,2025-03-17 13:57:34
2号机调速器电气控制检修报告.docx,/data2/统计包含关键词的文件/final/2号机调速器电气控制检修报告.docx,/data2/统计包含关键词的文件/final,84063,82.09 KB,2024-04-24 16:28:34
GB 11929-2011_高水平放射性废液贮存厂房设计规定.pdf,/data2/统计包含关键词的文件/final/GB 11929-2011_高水平放射性废液贮存厂房设计规定.pdf,/data2/统计包含关键词的文件/final,450605,440.04 KB,2024-05-28 14:14:37
09.第六章【观看版】.pdf,/data2/统计包含关键词的文件/final/09.第六章【观看版】.pdf,/data2/统计包含关键词的文件/final,8421258,8.03 MB,2025-03-17 14:57:44
远景能源EN1500-风力发电机组标准化作业手册之更换主轴.pdf,/data2/统计包含关键词的文件/final/远景能源EN1500-风力发电机组标准化作业手册之更换主轴.pdf,/data2/统计包含关键词的文件/final,1317086,1.26 MB,2025-08-19 15:06:22
QCDT-GYYHPC 1113-2022.ZY01 行波测距装置检修作业指导书.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1113-2022.ZY01 行波测距装置检修作业指导书.pdf,/data2/统计包含关键词的文件/final,495151,483.55 KB,2022-11-15 20:37:08
中级注册安全工程师-安全生产法律法规-考点精讲-第4章-安全生产单行法律_.pdf,/data2/统计包含关键词的文件/final/中级注册安全工程师-安全生产法律法规-考点精讲-第4章-安全生产单行法律_.pdf,/data2/统计包含关键词的文件/final,2709038,2.58 MB,2025-03-17 15:00:55
联合动力UP82-1500-1.5MW机组说明书.pdf,/data2/统计包含关键词的文件/final/联合动力UP82-1500-1.5MW机组说明书.pdf,/data2/统计包含关键词的文件/final,1080954,1.03 MB,2025-08-19 15:10:46
QCDT-GYYHPC 1103-2022 水导外循环及顶盖排水控制系统检修规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1103-2022 水导外循环及顶盖排水控制系统检修规程.pdf,/data2/统计包含关键词的文件/final,364601,356.06 KB,2022-11-15 20:20:28
安勇资料-2023年法律法规大全-部门规章篇.pdf,/data2/统计包含关键词的文件/final/安勇资料-2023年法律法规大全-部门规章篇.pdf,/data2/统计包含关键词的文件/final,4443235,4.24 MB,2025-03-17 13:38:11
GB 29440-2012_炭黑单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final/GB 29440-2012_炭黑单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final,367624,359.01 KB,2024-05-30 09:07:22
